epoch,accuracy,loss,val_accuracy,val_loss
0,0.7440000176429749,0.7520514726638794,0.7524999976158142,0.5173019766807556
1,0.8330000042915344,0.3917394280433655,0.7537500262260437,0.6670652627944946
2,0.8709999918937683,0.3259041905403137,0.8787500262260437,0.2894091010093689
3,0.8880000114440918,0.2721688449382782,0.8837500214576721,0.2984907627105713
4,0.9150000214576721,0.220306858420372,0.8337500095367432,0.41907939314842224
5,0.9229999780654907,0.18051262199878693,0.9049999713897705,0.2626843750476837
6,0.9369999766349792,0.1540146768093109,0.8537499904632568,0.4226336181163788
7,0.9539999961853027,0.118741475045681,0.9024999737739563,0.3065957725048065
8,0.9670000076293945,0.08608100563287735,0.875,0.4818442165851593
9,0.9580000042915344,0.1052672415971756,0.9049999713897705,0.36471980810165405
